App,Phrase,Autor,Song
bomdia,"Confie, Deus está no controle sempre.",,
biblicos,"A tua palavra, Senhor, para sempre está firmada nos céus. - Salmos 119:89",,
motivacionais,"Não ergas um edifício sem fortes alicerces ou viverás com medo - Sabedoria Persa",,
tarde,"Que sua tarde traga leveza ao coração.",,
musicas,"Eu te asseguro, não chore não, viu, que eu voltarei, viu, meu coração. - Humberto Teixeira e Luiz Gonzaga - Asa Branca",,
aniversarios,"Que o seu dia seja tão especial quanto você é para mim. Parabéns amor!",,
