App,Phrase,Autor,Song
biblicos,"Melhor é a repreensão feita abertamente do que o amor oculto. Quem fere por amor mostra lealdade, mas o inimigo multiplica beijos. - Provérbios 27:5-6",,
tarde,"A harmonia interior é o melhor presente do dia.",,
musicas,"Nem vi você chegar, foi como ser feliz de novo - Cícero - Ensaio Sobre Ela",,
aniversarios,"Para mim, você é incrível e uma inspiração na minha vida. Felicidades, hoje e sempre!",,
bomdia,"Café passado e problemas atualizados.",,
motivacionais,"Não faça apenas o que as outras pessoas estão fazendo. Faça o que estas pessoas queriam fazer, mas jamais se atreveram.",,
