App,Phrase,Autor,Song
biblicos,"O meu Deus suprirá todas as necessidades de vocês, de acordo com as suas gloriosas riquezas em Cristo Jesus. - Filipenses 4:19",,
motivacionais,"Nenhum mar calmo torna um marinheiro um especialista em navegação.",,
tarde,"Entregue seus pensamentos a Deus e sinta a paz.",,
musicas,"Sou caipira Pirapora Nossa Senhora de Aparecida - Renato Teixeira / Almir Sater - Romaria",,
aniversarios,"Desejo que seu dia seja repleto de felicidade, saúde e amor. Parabéns! 🎉",,
bomdia,"Sucesso é disciplina repetida diariamente.",,
