App,Phrase,Autor,Song
biblicos,"O Senhor o susterá em seu leito de enfermidade, e da doença o restaurará. - Salmos 41:3",,
motivacionais,"Todos estamos matriculados na escola da vida, onde o mestre é o tempo. - Cora Coralina",,
tarde,"Você tem dentro de si a força necessária.",,
musicas,"I told you I was trouble, you know that I’m no good - Amy Winehouse - You Know I’m No Good",,
aniversarios,"Um balde de amor e uma chuva de felicidade é o que mais desejo para você hoje! Parabéns!",,
bomdia,"Cada manhã é presente do Criador.",,
