App,Phrase,Autor,Song
bomdia,"A presença de Deus afasta todo medo.",,
biblicos,"Mil poderão cair ao seu lado; dez mil, à sua direita, mas nada o atingirá. - Salmos 91:7",,
motivacionais,"O único lugar que o sucesso vem antes do trabalho é no dicionário - Vidal Sasson",,
tarde,"Ore e sinta a calma que só Deus oferece.",,
musicas,"Porque metade de mim é o que eu grito, mas a outra metade é silêncio. - Oswaldo Montenegro - Metade",,
aniversarios,"Parabéns a você, que fica mais jovem e radiante a cada ano que passa! 🎁🥳",,
