App,Phrase,Autor,Song
bomdia,"Não pare até se orgulhar de si.",,
biblicos,"A tua palavra é lâmpada que ilumina os meus passos e luz que clareia o meu caminho. - Salmos 119:105",,
motivacionais,"A confiança do ingênuo é a arma mais útil do mentiroso. - Stephen King",,
tarde,"Você tem dentro de si a força necessária.",,
aniversarios,"Parabéns! Que cada sonho seu encontre um caminho para se realizar.",,
musicas,"Com você, eu tive meu valor, com você, senti o melhor sabor, meu amor livre - Filipe Ret - Amor Livre",,
