App,Phrase,Title,Autor,Song
bomdia,"Já levantei. Agora só falta acordar.","🎉 O app Mensagens de Bom Dia é mais poderoso do que parece",,
biblicos,"Ninguém conseguirá resistir a você todos os dias da sua vida. Assim como estive com Moisés, estarei com você; nunca o deixarei, nunca o abandonarei. ""Seja forte e corajoso, porque você conduzirá este povo para herdar a terra que prometi sob juramento aos seus antepassados. - Josué 1:5-6","✨ Tudo sobre o novo app Versos Bíblicos",,
motivacionais,"Não acredite em tudo o que vê. Todo mundo está travando uma batalha interna. Não é fácil para ninguém.","💥 O app Frases Motivacionais pode surpreender você",,
tarde,"A fé em Deus sustenta e renova sua alma.","✨ Descubra o diferencial do app Mensagens de Boa Tarde",,
