App,Phrase,Title,Autor,Song
bomdia,"Serenidade é viver o hoje sem pressa.","🔥 Descubra as vantagens do app Mensagens de Bom Dia",,
biblicos,"Bendito seja o Deus e Pai de nosso Senhor Jesus Cristo, Pai das misericórdias e Deus de toda consolação, que nos consola em todas as nossas tribulações, para que, com a consolação que recebemos de Deus, possamos consolar os que estão passando por tribulações. - 2 Coríntios 1:3-4","✨ O app Versos Bíblicos é mais poderoso do que parece",,
motivacionais,"Jamais desista das pessoas que ama. Jamais desista de ser feliz. Lute sempre pelos seus sonhos. Seja profundamente apaixonado pela vida. Pois a vida é um espetáculo imperdível. - Augusto Cury","📱 O app Frases Motivacionais é ideal para você?",,
tarde,"Seu esforço nunca será em vão, confie no processo.","🔥 O app Mensagens de Boa Tarde vale a pena testar?",,
musicas,"Lua vai iluminar os pensamentos dela - Katinguelê - Recado à Minha Amada (Lua Vai)","🎉 O app Trechos de Músicas sem complicação",,
aniversarios,"Parabéns pelo seu dia. Que ele seja abençoado e cheio de alegrias.","✨ Conheça o app Mensagens de Aniversário em menos de 60 segundos",,
noite,"Durma tranquilo e permita-se renascer amanhã.","🎉 Descubra por que escolher o app Mensagens de Boa Noite",,
animes,"Há momentos que você precisa desistir de alguma coisa para preservar a outra. - Rize","🚀 O app Frases de Animes vale seu tempo?",,
anime_quotes,"Not all warriors fight on the battlefield with a sword in hand. A sailor makes his living battling the sea - Leif Ericson","🚀 Discover why you should install the Anime Quotes app",,
