App,Phrase,Autor,Song
biblicos,"Ora, a fé é a certeza daquilo que esperamos e a prova das coisas que não vemos. - Hebreus 11:1",,
motivacionais,"Não existe nada de completamente errado no mundo. Mesmo um relógio parado consegue estar certo duas vezes por dia. - Paulo Coelho",,
musicas,"Tinha medo de um eu te amo sair da minha boca, até que um dia ele saiu, eu gelei, te olhei, você disse: eu também; e sorriu - Anitta - Cobertor",,
aniversarios,"Celebrar a sua vida será sempre um dos maiores motivos para me fazer sorrir. Parabéns, irmão!",,
bomdia,"A inspiração nasce no silêncio da alma.",,
tarde,"Desejo sorrisos sinceros e afeto abundante hoje.",,
