App,Phrase,Autor,Song
bomdia,"Que o amor de Deus te fortaleça.",,
biblicos,"""Se podes?"", disse Jesus. ""Tudo é possível àquele que crê."" - Marcos 9:23",,
motivacionais,"A inspiração jamais chega primeiro que o esforço.",,
tarde,"Paz interior é jardim que floresce em silêncio.",,
musicas,"Quero ser feliz também, navegar nas águas do teu mar, desejar para tudo o que vem, flores brancas, paz e Iemanjá - Natiruts - Quero Ser Feliz Também",,
aniversarios,"Que a vida lhe traga muitas alegrias, saúde e momentos especiais. Feliz aniversário! 🌟",,
