App,Phrase,Title,Autor,Song
bomdia,"Seu esforço faz toda a diferença.","📲 Não baixe o app Mensagens de Bom Dia antes de ver isso!",,
biblicos,"""Eu mesmo reunirei os remanescentes do meu rebanho de todas as terras para onde os expulsei e os trarei de volta à sua pastagem, a fim de que cresçam e se multipliquem. Estabelecerei sobre eles pastores que cuidarão deles. E eles não mais terão medo ou pavor, e nenhum deles faltará"", declara o Senhor. - Jeremias 23:3-4","🔥 Você vai querer baixar o app Versos Bíblicos",,
tarde,"O carinho fortalece e dá sentido à vida.","🔥 Descubra por que todos usam o app Mensagens de Boa Tarde",,
musicas,"Sem querer ser chato e incomodar você, não tenho moral pra vir te pedir nada, só um dia de folga pra gente se ver - Rashid (part. Duda Beat) - Sobrou Silêncio","🎯 O app Trechos de Músicas faz sentido para você?",,
aniversarios,"Celebrar a sua vida será sempre um dos maiores motivos para me fazer sorrir. Parabéns, irmão!","💥 O app Mensagens de Aniversário pode fazer isso?",,
noite,"Que a lua derrame sobre você uma chuva de carinho e serenidade.","🔥 O app Mensagens de Boa Noite é mais completo do que parece",,
animes,"O mundo humano é um lugar chato, com pessoas chatas fazendo coisas chatas. - Ryuk","📱 O app Frases de Animes pode ser a solução",,
anime_quotes,"Any man who has the brains to think and the nerve to act for the benefit of the people of the country, is considered a radical, by those who are content with stagnation and willing to endure disaster. - Roy Mustang","🔥 Is the Anime Quotes app worth trying?",,
motivacionais,"Se todos aceitassem o primeiro 'não', o mundo seria um enorme silêncio.","🚀 Você ainda não baixou o app Frases Motivacionais?",,
