App,Phrase,Title,Autor,Song
bomdia,"Grandes conquistas nascem de pequenos hábitos.","🚀 O app Mensagens de Bom Dia pode surpreender você",,
biblicos,"Fui crucificado com Cristo. Assim, já não sou eu quem vive, mas Cristo vive em mim. A vida que agora vivo no corpo, vivo-a pela fé no filho de Deus, que me amou e se entregou por mim. - Gálatas 2:20","💥 Descubra se o app Versos Bíblicos é ideal para você",,
motivacionais,"Sim, meu caro. A vida é curta, então não desperdice tempo se preocupando com o que não pode mudar.","💥 Descubra se o app Frases Motivacionais é ideal para você",,
tarde,"Que seu olhar encontre beleza nas coisas simples.","😱 Veja o que o app Mensagens de Boa Tarde consegue fazer",,
