App,Phrase,Autor,Song
bomdia,"Grandes sonhos pedem coragem diária.",,
biblicos,"Mas, sejam fortes e não desanimem, pois o trabalho de vocês será recompensado"". - 2 Crônicas 15:7",,
motivacionais,"A idade não limita sonho algum! Seu corpo mudou, sua mente amadureceu.",,
tarde,"A força está dentro de você, nunca se esqueça.",,
musicas,"Vai pensando que é assim que me apaga da sua vida. - Turma do Pagode (ft. Ferrugem & Mumuzinho) - Duvido",,
aniversarios,"Um balde de amor e uma chuva de felicidade é o que mais desejo para você hoje! Parabéns!",,
