App,Phrase,Autor,Song,Title
bomdia,"Seja inspiração mesmo nos dias difíceis.",,"😮 O que ninguém te contou sobre o app Mensagens de Bom Dia",
biblicos,"Ele morreu por nós para que, quer estejamos acordados quer dormindo, vivamos unidos a ele. - 1 Tessalonicenses 5:10",,"✨ Vale a pena instalar o app Versos Bíblicos hoje?"
motivacionais,"Não tenha medo das conquistas. Tenha medo de não tentar.",,"🎯 Veja tudo sobre o app Frases Motivacionais",
musicas,"Espero que o tempo voe, para que você retorne, pra que eu possa te abraçar e te beijar de novo - Nando Reis - N",,"💥 Conheça o potencial do app Trechos de Músicas"
aniversarios,"🎈 Feliz aniversário! Paz, amor, saúde e esperança é o que desejo para você neste lindo dia. 🎉",,"😱 O app Mensagens de Aniversário surpreendeu todo mundo!"
noite,"Que a fé seja seu abrigo durante a noite.",,"📲 Não baixe o app Mensagens de Boa Noite antes de ver isso!",
animes,"Eu vou vencer, não importa o que aconteça! Eu vou sobreviver, não importa o que aconteça. - Mikasa Ackerman",,"💥 Vale a pena testar o app Frases de Animes?"
