App,Phrase,Autor,Song
bomdia,"Que a ternura esteja presente em cada gesto.",,
biblicos,"Por isso jejuamos e suplicamos essa bênção ao nosso Deus, e ele nos atendeu. - Esdras 8:23",,
motivacionais,"O caminho da sabedoria é não ter medo de errar. - Paulo Coelho",,
tarde,"Que sua fé renove suas forças nesta tarde.",,
musicas,"Do lado de cá a vista é bonita, a maré é boa de provar - Chimarruts - Do Lado De Cá",,
aniversarios,"Um feliz aniversário e uma vida de muita alegria é o que desejarei sempre para você!",,
