App,Phrase,Title,Autor,Song
bomdia,"Agradeça a Deus por mais um despertar.","📲 O app Mensagens de Bom Dia pode mudar sua experiência",,
biblicos,"Ele fortalece o cansado e dá grande vigor ao que está sem forças. Até os jovens se cansam e ficam exaustos, e os moços tropeçam e caem; mas aqueles que esperam no Senhor renovam as suas forças. Voam alto como águias; correm e não ficam exaustos, andam e não se cansam. - Isaías 40:29-31","😱 O app Versos Bíblicos surpreendeu todo mundo!",,
motivacionais,"Certifique-se de que suas palavras e seus atos estão em harmonia - Claus Moller","✨ O app Frases Motivacionais pode facilitar sua vida",,
tarde,"Que sua fé seja maior que qualquer medo.","💡 O app Mensagens de Boa Tarde pode facilitar seu dia a dia",,
musicas,"In all the good times, I find myself longing for change - Lady Gaga - Shallow","⚡ O app Trechos de Músicas pode surpreender você",,
aniversarios,"Que você tenha um novo ano repleto de alegria, sucesso e amor! Parabéns pelo seu dia!","📱 O app Mensagens de Aniversário pode ajudar você",,
noite,"Que seu coração repouse em paz e carinho.","📱 O app Mensagens de Boa Noite é ideal para você?",,
animes,"Poder da juventude te faltam mais 1000 anos de idade para chegar ao meu nível. - Yamamoto Genryuusai","⚡ O app Frases de Animes pode te surpreender",,
anime_quotes,"You can take control of my mind and my body, but there is one thing a Saiyan always keep... his PRIDE! - Vegeta","🎉 The Anime Quotes app can surprise anyone",,
