App,Phrase,Title,Autor,Song
anime_quotes,"When we hit our lowest point, we are open to the greatest change. - Aang","⚡ The Anime Quotes app just got awesome!",,
bomdia,"Silencie a mente e escute a paz interior.","🎉 Descubra os diferenciais do app Mensagens de Bom Dia",,
biblicos,"""Sei que podes fazer todas as coisas; nenhum dos teus planos pode ser frustrado. - Jó 42:2","💥 O app Versos Bíblicos pode fazer isso?",,
motivacionais,"A persistência realiza o impossível. - Provérbio Chinês","✨ O app Frases Motivacionais pode mudar sua rotina",,
tarde,"A harmonia interior é o melhor presente do dia.","📱 Baixe o app Mensagens de Boa Tarde e descubra tudo o que ele faz",,
musicas,"Quero olhar nos teus olhos e dizer, só te quero a ti, ponto final - Calema - Amar 24/24","🚀 Descubra por que baixar o app Trechos de Músicas",,
aniversarios,"Que neste dia especial não lhe falte motivos para sorrir. Parabéns e muitas felicidades.","🏆 Por que tanta gente usa o app Mensagens de Aniversário?",,
noite,"Que a graça divina toque seu coração e mente.","📱 Vale a pena baixar o app Mensagens de Boa Noite?",,
animes,"O amor é algo que você cria se preocupando e cuidando da outra pessoa.","🎉 Descubra por que escolher o app Frases de Animes",,
